Posted Date,Reference Number,Payee,Address,Amount
04/15/2022,                       ,"INTEREST CHARGED ON PURCHASES","",-26.83
04/15/2022,24034542104001489416911,"PHILLIPS 66 - MPC 85 COLUMBIA MO","COLUMBIA      MO ",-43.57
04/14/2022,24692162104100853012759,"PANERA BREAD #600739 P COLUMBIA MO","COLUMBIA      MO ",-3.19
04/12/2022,                       ,"PAYMENT DIRECT DEBIT - THANK YOU","",86.00
04/11/2022,24204292100010719718723,"Peacock 3B174 Premium 212-6640138 NY","212-6640138   NY ",-4.99
04/11/2022,24204292100010308388722,"Peacock 693B9 Premium 212-6640138 NY","212-6640138   NY ",-4.99
04/11/2022,24692162100100149950048,"LOWES #01077* JEFFERSON CITMO","JEFFERSON CIT MO ",-176.19
04/11/2022,24445002100000772927792,"STEAK N SHAKE 2102 JEFFERSON CITMO","JEFFERSON CIT MO ",-7.52
04/09/2022,24137462098500821187820,"TST* PRISON BREWS JEFFERSON CITMO","JEFFERSON CIT MO ",-20.00
04/08/2022,24445002097300447720092,"GERBES #0122 JEFFERSON CITMO","JEFFERSON CIT MO ",-75.13
04/08/2022,24906412097144396673255,"HLU*Hulu 1024827495288-U HULU.COM/BILLCA","HULU.COM/BILL CA ",-75.99
04/08/2022,24943002097838009209241,"TACO BELL 032706 JEFFERSON CITMO","JEFFERSON CIT MO ",-7.42
04/07/2022,24431062097400092000145,"BUSCH'S FLORIST & GREENH JEFFERSON CITMO","JEFFERSON CIT MO ",-114.19
04/07/2022,24692162097100168365453,"PANERA BREAD #600739 P COLUMBIA MO","COLUMBIA      MO ",-3.19
04/05/2022,24137462094100268135673,"WESTLAKE HARDWARE #006 JEFFERSON CITMO","JEFFERSON CIT MO ",-134.00
04/04/2022,09473400000847000088471,"BA ELECTRONIC PAYMENT","",1000.00
04/04/2022,09486000000213348138887,"CASH REWARDS STATEMENT CREDIT","",88.69
04/04/2022,24034542093000336169528,"PHILLIPS 66 - EDGE XPRESSJEFFERSON CITMO","JEFFERSON CIT MO ",-13.30
04/04/2022,24034542093000324199768,"PHILLIPS 66 - EDGE XPRESSJEFFERSON CITMO","JEFFERSON CIT MO ",-69.77
04/04/2022,24137462093001361693801,"USPS PO 2841590109 JEFFERSON CITMO","JEFFERSON CIT MO ",-58.00
04/01/2022,24137462091001404580843,"HY-VEE JEFF CITY 1303 JEFFERSON CTYMO","JEFFERSON CTY MO ",-15.85
04/01/2022,24269792091001043236211,"GQT CAPITAL 8 JEFFERSON CITMO","JEFFERSON CIT MO ",-17.40
03/30/2022,24755422088280880438243,"OPW THE SEALER STORE 248-2992512 MI","248-2992512   MI ",-214.95
03/28/2022,24137462086100637923106,"WESTLAKE HARDWARE #002 COLUMBIA MO","COLUMBIA      MO ",-14.04
03/28/2022,24943002086700819781574,"PARAMOUNT+ 888-274-5343 CA","888-274-5343  CA ",-5.99
03/28/2022,24231682086400024301017,"PETSMART # 2202 JEFFERSON CITMO","JEFFERSON CIT MO ",-152.18
03/26/2022,24204292084000207727641,"Microsoft*Xbox Live Gold 425-6816830 WA","425-6816830   WA ",-9.99
03/25/2022,24445002083300431112666,"GERBES #0122 JEFFERSON CITMO","JEFFERSON CIT MO ",-68.22
03/24/2022,24137462083001328400425,"USPS PO 2841590109 JEFFERSON CITMO","JEFFERSON CIT MO ",-6.69
03/21/2022,07973400000847000061170,"BA ELECTRONIC PAYMENT","",3000.00
03/21/2022,24183102079900013900824,"BANDANAS BARBQ AND CATE JEFFERSON CITMO","JEFFERSON CIT MO ",-35.54
03/21/2022,24431062079091949001410,"CHIPOTLE 1183 JEFFERSON CITMO","JEFFERSON CIT MO ",-12.98
03/21/2022,24034542078002107060281,"PHILLIPS 66 - EDGE XPRESSJEFFERSON CITMO","JEFFERSON CIT MO ",-11.30
03/21/2022,24445002078300417949807,"GERBES #0122 JEFFERSON CITMO","JEFFERSON CIT MO ",-8.88
03/19/2022,24164072077685010600747,"CENEX LAKERS E07083850 CAMDENTON MO","CAMDENTON     MO ",-21.30
03/19/2022,24445002077300453087208,"GERBES #0122 JEFFERSON CITMO","JEFFERSON CIT MO ",-21.49
03/19/2022,24137462077200178887677,"BREAK TIME 3150 LEBANON MO","LEBANON       MO ",-5.60
03/19/2022,24137462077200178887594,"BREAK TIME 3150 LEBANON MO","LEBANON       MO ",-22.74
03/19/2022,24323002077091390001843,"SMG BRANSON CC PARKING BRANSON MO","BRANSON       MO ",-7.00
03/18/2022,24034542076001858764853,"PHILLIPS 66 - EDGE XPRESSJEFFERSON CITMO","JEFFERSON CIT MO ",-11.30
03/18/2022,24323002076206816300238,"SAVOR BRANSON CC CONC BRANSON MO","BRANSON       MO ",-4.50
03/18/2022,24323002076206816300220,"SAVOR BRANSON CC CONC BRANSON MO","BRANSON       MO ",-9.00
03/17/2022,24789302075007900560410,"UNIVERSITY PHYSICIANS COLUMBIA MO","COLUMBIA      MO ",-30.00
03/17/2022,24445002075300453593017,"GERBES #0122 JEFFERSON CITMO","JEFFERSON CIT MO ",-7.91
03/16/2022,24455012074141000065845,"WAL-MART #0029 JEFFERSON CITMO","JEFFERSON CIT MO ",-24.69
