Posted Date,Reference Number,Payee,Address,Amount
12/15/2021,                       ,"INTEREST CHARGED ON PURCHASES","",-46.57
12/15/2021,24034541348001460357710,"PHILLIPS 66 - WESTLAND TRKINGDOM CITY MO","KINGDOM CITY  MO ",-44.92
12/15/2021,24137461348500758525539,"FIVE BELOW 818 JEFFERSON CITMO","JEFFERSON CIT MO ",-4.71
12/14/2021,24692161348100459385136,"PANERA BREAD #600739 P COLUMBIA MO","COLUMBIA      MO ",-3.47
12/13/2021,34786000000723355969888,"CASH REWARDS STATEMENT CREDIT","",104.64
12/13/2021,24231681347400011031012,"PETSMART # 2202 JEFFERSON CITMO","JEFFERSON CIT MO ",-133.58
12/13/2021,24445001346300449535267,"GERBES #0122 JEFFERSON CITMO","JEFFERSON CIT MO ",-236.59
12/13/2021,24122591346030032415086,"LEHMEN AUTOMOTIVE JEFFERSON CTYMO","JEFFERSON CTY MO ",-38.10
12/13/2021,24034541346001290607948,"PHILLIPS 66 - EDGE XPRESSJEFFERSON CITMO","JEFFERSON CIT MO ",-36.33
12/13/2021,34673400000847000005372,"BA ELECTRONIC PAYMENT","",500.00
12/13/2021,34673400000847000005364,"BA ELECTRONIC PAYMENT","",1500.00
12/13/2021,24755421345283452675383,"ORSCHELN COLUMBIA SOUTH 1MOBERLY MO","MOBERLY       MO ",-23.35
12/11/2021,                       ,"PAYMENT DIRECT DEBIT - THANK YOU","",74.00
12/11/2021,24445001344300482716024,"GERBES #0122 JEFFERSON CITMO","JEFFERSON CIT MO ",-20.36
12/11/2021,24204291344660147824945,"Peacock 46EA4 Premium 212-6640138 NY","212-6640138   NY ",-4.99
12/11/2021,24204291344659674734949,"Peacock X6179 Premium 212-6640138 NY","212-6640138   NY ",-4.99
12/10/2021,24269791343500615417313,"HONG KONG MARKET COLUMBIA MO","COLUMBIA      MO ",-1.55
12/09/2021,24906411342136087267715,"HLU*Hulu 1024827493944-U HULU.COM/BILLCA","HULU.COM/BILL CA ",-5.80
12/09/2021,24692161342100405009455,"NINTENDO *AMERICAUS 800-255-3700 WA","800-255-3700  WA ",-11.99
12/08/2021,24906411341135956915272,"HLU*Hulu 1024827499710-U HULU.COM/BILLCA","HULU.COM/BILL CA ",-64.99
12/08/2021,24943001341838007773061,"TACO BELL 4209 COLUMBIA MO","COLUMBIA      MO ",-14.38
12/07/2021,24137461340100244333768,"WESTLAKE HARDWARE #006 JEFFERSON CITMO","JEFFERSON CIT MO ",-9.67
12/06/2021,24445001339300471554912,"GERBES #0122 JEFFERSON CITMO","JEFFERSON CIT MO ",-135.53
12/04/2021,24767921337900018600275,"WOODLAND ANIMAL HOSPITAL JEFFERSON CITMO","JEFFERSON CIT MO ",-120.00
11/30/2021,24692161334100179904998,"PANERA BREAD #600739 P COLUMBIA MO","COLUMBIA      MO ",-2.97
11/30/2021,24445001333300447012975,"GERBES #0122 JEFFERSON CITMO","JEFFERSON CIT MO ",-11.55
11/29/2021,24445001333400160593845,"WM SUPERCENTER #29 JEFFERSON CITMO","JEFFERSON CIT MO ",-31.10
11/29/2021,24445001332300440617912,"DILLONS FUEL # 9124 COLUMBIA MO","COLUMBIA      MO ",-44.96
11/29/2021,33273400000847000037355,"BA ELECTRONIC PAYMENT","",1500.00
11/29/2021,24943001331700768816079,"VIACOMCBS STREAMING 888-274-5343 CA","888-274-5343  CA ",-5.99
11/27/2021,24445001330300374709596,"GERBES #0122 JEFFERSON CITMO","JEFFERSON CIT MO ",-302.96
11/26/2021,24231681329400027576010,"PETSMART # 2202 JEFFERSON CITMO","JEFFERSON CIT MO ",-123.77
11/26/2021,24204291329000040153556,"Microsoft 425-6816830 WA","425-6816830   WA ",-9.99
11/23/2021,24377351327000003753108,"CROWN VISION CENTER JEFFEJEFFERSON CITMO","JEFFERSON CIT MO ",-371.62
11/23/2021,24692161326100140497684,"VESTA *AT&T PREPAID 866-608-3007 OR","866-608-3007  OR ",-26.36
11/22/2021,24906411325134775062192,"HLU*Hulu 1024827498925-U HULU.COM/BILLCA","HULU.COM/BILL CA ",-30.92
11/22/2021,24692161325100816782535,"PANERA BREAD #600739 P COLUMBIA MO","COLUMBIA      MO ",-3.47
11/20/2021,24692161323100244452802,"NINTENDO *AMERICAUS 800-255-3700 WA","800-255-3700  WA ",-19.99
11/17/2021,24445001320300452766122,"GERBES #0122 JEFFERSON CITMO","JEFFERSON CIT MO ",-48.59
11/17/2021,24137461320200211321038,"BREAK TIME 3160 COLUMBIA MO","COLUMBIA      MO ",-28.05
